Neighborhood,Total Images,TL Images,TL Detection Rate (%),TL Total Detections,TL Avg/Image,TL Avg Confidence,TL Min Confidence,TL Max Confidence,SS Images,SS Detection Rate (%),SS Total Detections,SS Avg/Image,SS Avg Confidence,SS Min Confidence,SS Max Confidence,Confidence Threshold,YOLO Model
CALLOWHILL,288,53,18.4,124,2.34,0.707,0.509,0.877,19,6.6,19,1.0,0.655,0.505,0.94,0.5,yolov8m
Center City,275,76,27.6,141,1.86,0.68,0.504,0.863,12,4.4,12,1.0,0.795,0.58,0.942,0.5,yolov8m
CHINATOWN,112,30,26.8,62,2.07,0.682,0.501,0.885,2,1.8,3,1.5,0.764,0.583,0.922,0.5,yolov8m
EAST_KENSINGTON,475,50,10.5,97,1.94,0.666,0.505,0.861,58,12.2,65,1.12,0.702,0.5,0.932,0.5,yolov8m
FISHTOWN,1631,79,4.8,161,2.04,0.692,0.501,0.899,182,11.2,191,1.05,0.721,0.5,0.944,0.5,yolov8m
KENSINGTON,444,44,9.9,72,1.64,0.673,0.501,0.898,53,11.9,56,1.06,0.74,0.501,0.943,0.5,yolov8m
LOGAN_SQUARE,752,197,26.2,389,1.97,0.678,0.501,0.871,40,5.3,43,1.07,0.699,0.506,0.963,0.5,yolov8m
OLD_CITY,660,117,17.7,237,2.03,0.685,0.502,0.893,24,3.6,28,1.17,0.691,0.513,0.939,0.5,yolov8m
POINT_BREEZE,1152,58,5.0,103,1.78,0.65,0.518,0.843,122,10.6,137,1.12,0.706,0.5,0.972,0.5,yolov8m
RITTENHOUSE,1068,217,20.3,406,1.87,0.656,0.5,0.864,46,4.3,47,1.02,0.754,0.505,0.966,0.5,yolov8m
SOCIETY_HILL,524,66,12.6,116,1.76,0.647,0.501,0.854,22,4.2,23,1.05,0.71,0.51,0.934,0.5,yolov8m
UNIVERSITY_CITY,632,219,34.7,518,2.37,0.705,0.501,0.896,23,3.6,26,1.13,0.609,0.504,0.86,0.5,yolov8m
WASHINGTON_SQUARE_WEST,832,139,16.7,228,1.64,0.646,0.501,0.909,25,3.0,29,1.16,0.761,0.506,0.953,0.5,yolov8m
WEST_KENSINGTON,1105,136,12.3,247,1.82,0.68,0.501,0.873,152,13.8,165,1.09,0.705,0.505,0.953,0.5,yolov8m
